id,name,base_experience,height,weight,types,abilities,moves,stats
277,swellow,159,7,198,"normal, flying","guts, scrappy","wing-attack, fly, double-edge, growl, hyper-beam","hp=60, attack=85, defense=60, special-attack=75, special-defense=50, speed=125"
278,wingull,54,6,95,"water, flying","keen-eye, hydration, rain-dish","gust, wing-attack, fly, take-down, double-edge","hp=40, attack=30, defense=30, special-attack=55, special-defense=30, speed=85"
279,pelipper,154,12,280,"water, flying","keen-eye, drizzle, rain-dish","wing-attack, fly, body-slam, take-down, double-edge","hp=60, attack=50, defense=100, special-attack=95, special-defense=70, speed=65"
280,ralts,40,4,66,"psychic, fairy","synchronize, trace, telepathy","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick","hp=28, attack=25, defense=25, special-attack=45, special-defense=35, speed=40"
281,kirlia,97,8,202,"psychic, fairy","synchronize, trace, telepathy","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick","hp=38, attack=35, defense=35, special-attack=65, special-defense=55, speed=50"
282,gardevoir,233,16,484,"psychic, fairy","synchronize, trace, telepathy","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick","hp=68, attack=65, defense=65, special-attack=125, special-defense=115, speed=80"
283,surskit,54,5,17,"bug, water","swift-swim, rain-dish","take-down, double-edge, mist, water-gun, hydro-pump","hp=40, attack=30, defense=32, special-attack=50, special-defense=52, speed=65"
284,masquerain,159,8,36,"bug, flying","intimidate, unnerve","gust, whirlwind, take-down, double-edge, supersonic","hp=70, attack=60, defense=62, special-attack=100, special-defense=82, speed=80"
285,shroomish,59,4,45,grass,"effect-spore, poison-heal, quick-feet","swords-dance, headbutt, tackle, body-slam, take-down","hp=60, attack=40, defense=60, special-attack=40, special-defense=60, speed=35"
286,breloom,161,12,392,"grass, fighting","effect-spore, poison-heal, technician","mega-punch, thunder-punch, swords-dance, cut, mega-kick","hp=60, attack=130, defense=80, special-attack=60, special-defense=60, speed=70"
287,slakoth,56,8,240,normal,truant,"mega-punch, fire-punch, ice-punch, thunder-punch, scratch","hp=60, attack=60, defense=60, special-attack=35, special-defense=35, speed=30"
288,vigoroth,154,14,465,normal,vital-spirit,"mega-punch, fire-punch, ice-punch, thunder-punch, scratch","hp=80, attack=80, defense=80, special-attack=55, special-defense=55, speed=90"
289,slaking,252,20,1305,normal,truant,"mega-punch, fire-punch, ice-punch, thunder-punch, scratch","hp=150, attack=160, defense=100, special-attack=95, special-defense=65, speed=100"
290,nincada,53,5,55,"bug, ground","compound-eyes, run-away","scratch, cut, gust, sand-attack, double-edge","hp=31, attack=45, defense=90, special-attack=30, special-defense=30, speed=40"
291,ninjask,160,8,120,"bug, flying","speed-boost, infiltrator","scratch, swords-dance, cut, sand-attack, double-edge","hp=61, attack=90, defense=45, special-attack=50, special-defense=50, speed=160"
292,shedinja,83,8,12,"bug, ghost",wonder-guard,"scratch, cut, sand-attack, double-edge, hyper-beam","hp=1, attack=90, defense=45, special-attack=30, special-defense=30, speed=40"
293,whismur,48,6,163,normal,"soundproof, rattled","pound, mega-punch, fire-punch, ice-punch, thunder-punch","hp=64, attack=51, defense=23, special-attack=51, special-defense=23, speed=28"
294,loudred,126,10,405,normal,"soundproof, scrappy","pound, mega-punch, fire-punch, ice-punch, thunder-punch","hp=84, attack=71, defense=43, special-attack=71, special-defense=43, speed=48"
295,exploud,221,15,840,normal,"soundproof, scrappy","pound, mega-punch, fire-punch, ice-punch, thunder-punch","hp=104, attack=91, defense=63, special-attack=91, special-defense=73, speed=68"
296,makuhita,47,10,864,fighting,"thick-fat, guts, sheer-force","mega-punch, fire-punch, ice-punch, thunder-punch, whirlwind","hp=72, attack=60, defense=30, special-attack=20, special-defense=30, speed=25"
297,hariyama,166,23,2538,fighting,"thick-fat, guts, sheer-force","mega-punch, fire-punch, ice-punch, thunder-punch, whirlwind","hp=144, attack=120, defense=60, special-attack=40, special-defense=60, speed=50"
298,azurill,38,2,20,"normal, fairy","thick-fat, huge-power, sap-sipper","slam, headbutt, body-slam, take-down, double-edge","hp=50, attack=20, defense=40, special-attack=20, special-defense=40, speed=20"
299,nosepass,75,10,970,rock,"sturdy, magnet-pull, sand-force","fire-punch, ice-punch, thunder-punch, headbutt, tackle","hp=30, attack=45, defense=135, special-attack=45, special-defense=90, speed=30"
300,skitty,52,6,110,normal,"cute-charm, normalize, wonder-skin","double-slap, headbutt, tackle, body-slam, double-edge","hp=50, attack=45, defense=45, special-attack=35, special-defense=35, speed=50"
301,delcatty,140,11,326,normal,"cute-charm, normalize, wonder-skin","double-slap, headbutt, tackle, body-slam, double-edge","hp=70, attack=65, defense=65, special-attack=55, special-defense=55, speed=90"
302,sableye,133,5,110,"dark, ghost","keen-eye, stall, prankster","mega-punch, fire-punch, ice-punch, thunder-punch, scratch","hp=50, attack=75, defense=75, special-attack=65, special-defense=65, speed=50"
303,mawile,133,6,115,"steel, fairy","hyper-cutter, intimidate, sheer-force","mega-punch, ice-punch, thunder-punch, vice-grip, swords-dance","hp=50, attack=85, defense=85, special-attack=55, special-defense=55, speed=50"
304,aron,66,4,600,"steel, rock","sturdy, rock-head, heavy-metal","cut, stomp, headbutt, tackle, body-slam","hp=50, attack=70, defense=100, special-attack=40, special-defense=40, speed=30"
305,lairon,151,9,1200,"steel, rock","sturdy, rock-head, heavy-metal","cut, headbutt, tackle, body-slam, take-down","hp=60, attack=90, defense=140, special-attack=50, special-defense=50, speed=40"
306,aggron,239,21,3600,"steel, rock","sturdy, rock-head, heavy-metal","mega-punch, fire-punch, ice-punch, thunder-punch, cut","hp=70, attack=110, defense=180, special-attack=60, special-defense=60, speed=50"
307,meditite,56,6,112,"fighting, psychic","pure-power, telepathy","pound, mega-punch, fire-punch, ice-punch, thunder-punch","hp=30, attack=40, defense=55, special-attack=40, special-defense=55, speed=60"
308,medicham,144,13,315,"fighting, psychic","pure-power, telepathy","pound, mega-punch, fire-punch, ice-punch, thunder-punch","hp=60, attack=60, defense=75, special-attack=60, special-defense=75, speed=80"
309,electrike,59,6,152,electric,"static, lightning-rod, minus","headbutt, tackle, body-slam, double-edge, leer","hp=40, attack=45, defense=40, special-attack=65, special-defense=40, speed=65"
310,manectric,166,15,402,electric,"static, lightning-rod, minus","headbutt, tackle, body-slam, double-edge, leer","hp=70, attack=75, defense=60, special-attack=105, special-defense=60, speed=105"
311,plusle,142,4,42,electric,"plus, lightning-rod","mega-punch, thunder-punch, mega-kick, headbutt, body-slam","hp=60, attack=50, defense=40, special-attack=85, special-defense=75, speed=95"
312,minun,142,4,42,electric,"minus, volt-absorb","mega-punch, thunder-punch, mega-kick, headbutt, body-slam","hp=60, attack=40, defense=50, special-attack=75, special-defense=85, speed=95"
313,volbeat,151,7,177,bug,"illuminate, swarm, prankster","mega-punch, ice-punch, thunder-punch, mega-kick, tackle","hp=65, attack=73, defense=75, special-attack=47, special-defense=85, speed=85"
314,illumise,151,6,177,bug,"oblivious, tinted-lens, prankster","mega-punch, ice-punch, thunder-punch, mega-kick, tackle","hp=65, attack=47, defense=75, special-attack=73, special-defense=85, speed=85"
315,roselia,140,3,20,"grass, poison","natural-cure, poison-point, leaf-guard","swords-dance, cut, body-slam, double-edge, poison-sting","hp=50, attack=60, defense=45, special-attack=100, special-defense=80, speed=65"
316,gulpin,60,4,103,poison,"liquid-ooze, sticky-hold, gluttony","pound, fire-punch, ice-punch, thunder-punch, swords-dance","hp=70, attack=43, defense=53, special-attack=43, special-defense=53, speed=40"
317,swalot,163,17,800,poison,"liquid-ooze, sticky-hold, gluttony","pound, fire-punch, ice-punch, thunder-punch, swords-dance","hp=100, attack=73, defense=83, special-attack=73, special-defense=83, speed=55"
318,carvanha,61,8,208,"water, dark","rough-skin, speed-boost","take-down, thrash, double-edge, leer, bite","hp=45, attack=90, defense=20, special-attack=65, special-defense=20, speed=65"
319,sharpedo,161,18,888,"water, dark","rough-skin, speed-boost","take-down, double-edge, leer, bite, roar","hp=70, attack=120, defense=40, special-attack=95, special-defense=40, speed=95"
320,wailmer,80,20,1300,water,"water-veil, oblivious, pressure","headbutt, body-slam, thrash, double-edge, growl","hp=130, attack=70, defense=35, special-attack=70, special-defense=35, speed=60"
321,wailord,175,145,3980,water,"water-veil, oblivious, pressure","headbutt, body-slam, double-edge, growl, roar","hp=170, attack=90, defense=45, special-attack=90, special-defense=45, speed=60"
322,numel,61,7,240,"fire, ground","oblivious, simple, own-tempo","stomp, headbutt, tackle, body-slam, take-down","hp=60, attack=60, defense=40, special-attack=65, special-defense=45, speed=35"
323,camerupt,161,19,2200,"fire, ground","magma-armor, solid-rock, anger-point","headbutt, tackle, body-slam, take-down, double-edge","hp=70, attack=100, defense=70, special-attack=105, special-defense=75, speed=40"
324,torkoal,165,5,804,fire,"white-smoke, drought, shell-armor","headbutt, body-slam, take-down, double-edge, ember","hp=70, attack=85, defense=140, special-attack=85, special-defense=70, speed=20"
325,spoink,66,7,306,psychic,"thick-fat, own-tempo, gluttony","whirlwind, headbutt, body-slam, take-down, double-edge","hp=60, attack=25, defense=35, special-attack=70, special-defense=80, speed=60"
326,grumpig,165,9,715,psychic,"thick-fat, own-tempo, gluttony","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick","hp=80, attack=45, defense=65, special-attack=90, special-defense=110, speed=80"
327,spinda,126,11,50,normal,"own-tempo, tangled-feet, contrary","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick","hp=60, attack=60, defense=60, special-attack=60, special-defense=60, speed=60"
328,trapinch,58,7,150,ground,"hyper-cutter, arena-trap, sheer-force","gust, sand-attack, headbutt, body-slam, take-down","hp=45, attack=100, defense=45, special-attack=45, special-defense=45, speed=10"
329,vibrava,119,11,153,"ground, dragon",levitate,"gust, fly, sand-attack, headbutt, body-slam","hp=50, attack=70, defense=50, special-attack=50, special-defense=50, speed=70"
330,flygon,234,20,820,"ground, dragon",levitate,"mega-punch, fire-punch, thunder-punch, gust, fly","hp=80, attack=100, defense=80, special-attack=80, special-defense=80, speed=100"
331,cacnea,67,4,513,grass,"sand-veil, water-absorb","mega-punch, thunder-punch, swords-dance, cut, sand-attack","hp=50, attack=85, defense=40, special-attack=85, special-defense=40, speed=35"
332,cacturne,166,13,774,"grass, dark","sand-veil, water-absorb","mega-punch, thunder-punch, swords-dance, cut, mega-kick","hp=70, attack=115, defense=60, special-attack=115, special-defense=60, speed=55"
333,swablu,62,4,12,"normal, flying","natural-cure, cloud-nine","fly, fury-attack, body-slam, take-down, double-edge","hp=45, attack=40, defense=60, special-attack=40, special-defense=75, speed=50"
334,altaria,172,11,206,"dragon, flying","natural-cure, cloud-nine","fly, fury-attack, body-slam, take-down, double-edge","hp=75, attack=70, defense=90, special-attack=70, special-defense=105, speed=80"
335,zangoose,160,13,403,normal,"immunity, toxic-boost","mega-punch, fire-punch, ice-punch, thunder-punch, scratch","hp=73, attack=115, defense=60, special-attack=60, special-defense=60, speed=90"
336,seviper,160,27,525,poison,"shed-skin, infiltrator","swords-dance, bind, headbutt, body-slam, wrap","hp=73, attack=100, defense=60, special-attack=100, special-defense=60, speed=65"
337,lunatone,161,10,1680,"rock, psychic",levitate,"tackle, body-slam, double-edge, ice-beam, blizzard","hp=90, attack=55, defense=65, special-attack=95, special-defense=85, speed=70"
338,solrock,161,12,1540,"rock, psychic",levitate,"swords-dance, tackle, body-slam, double-edge, flamethrower","hp=90, attack=95, defense=85, special-attack=55, special-defense=65, speed=70"
339,barboach,58,4,19,"water, ground","oblivious, anticipation, hydration","headbutt, take-down, thrash, double-edge, water-gun","hp=50, attack=48, defense=43, special-attack=46, special-defense=41, speed=60"
340,whiscash,164,9,236,"water, ground","oblivious, anticipation, hydration","headbutt, body-slam, take-down, thrash, double-edge","hp=110, attack=78, defense=73, special-attack=76, special-defense=71, speed=60"
341,corphish,62,6,115,water,"hyper-cutter, shell-armor, adaptability","vice-grip, guillotine, swords-dance, cut, body-slam","hp=43, attack=80, defense=65, special-attack=50, special-defense=35, speed=35"
342,crawdaunt,164,11,328,"water, dark","hyper-cutter, shell-armor, adaptability","vice-grip, guillotine, swords-dance, cut, body-slam","hp=63, attack=120, defense=85, special-attack=90, special-defense=55, speed=55"
343,baltoy,60,5,215,"ground, psychic",levitate,"headbutt, double-edge, ice-beam, psybeam, solar-beam","hp=40, attack=40, defense=55, special-attack=40, special-defense=70, speed=55"
344,claydol,175,15,1080,"ground, psychic",levitate,"headbutt, double-edge, ice-beam, psybeam, hyper-beam","hp=60, attack=70, defense=105, special-attack=70, special-defense=120, speed=75"
345,lileep,71,10,238,"rock, grass","suction-cups, storm-drain","swords-dance, bind, body-slam, wrap, double-edge","hp=66, attack=41, defense=77, special-attack=61, special-defense=87, speed=23"
346,cradily,173,15,604,"rock, grass","suction-cups, storm-drain","swords-dance, bind, headbutt, body-slam, wrap","hp=86, attack=81, defense=97, special-attack=81, special-defense=107, speed=43"
347,anorith,71,7,125,"rock, bug","battle-armor, swift-swim","scratch, swords-dance, cut, sand-attack, headbutt","hp=45, attack=95, defense=50, special-attack=40, special-defense=50, speed=75"
348,armaldo,173,15,682,"rock, bug","battle-armor, swift-swim","scratch, swords-dance, cut, headbutt, body-slam","hp=75, attack=125, defense=100, special-attack=70, special-defense=80, speed=45"
349,feebas,40,6,74,water,"swift-swim, oblivious, adaptability","tackle, double-edge, mist, surf, ice-beam","hp=20, attack=15, defense=20, special-attack=10, special-defense=55, speed=80"
350,milotic,189,62,1620,water,"marvel-scale, competitive, cute-charm","bind, tackle, body-slam, wrap, take-down","hp=95, attack=60, defense=79, special-attack=100, special-defense=125, speed=81"
351,castform,147,3,8,normal,forecast,"headbutt, tackle, body-slam, double-edge, disable","hp=70, attack=70, defense=70, special-attack=70, special-defense=70, speed=70"
352,kecleon,154,10,220,normal,"color-change, protean","mega-punch, fire-punch, ice-punch, thunder-punch, scratch","hp=60, attack=90, defense=70, special-attack=60, special-defense=120, speed=40"
353,shuppet,59,6,23,ghost,"insomnia, frisk, cursed-body","headbutt, body-slam, double-edge, disable, psybeam","hp=44, attack=75, defense=35, special-attack=63, special-defense=33, speed=45"
354,banette,159,11,125,ghost,"insomnia, frisk, cursed-body","swords-dance, headbutt, body-slam, double-edge, psybeam","hp=64, attack=115, defense=65, special-attack=83, special-defense=63, speed=65"
355,duskull,59,8,150,ghost,"levitate, frisk","headbutt, body-slam, double-edge, leer, disable","hp=20, attack=40, defense=90, special-attack=30, special-defense=90, speed=25"
356,dusclops,159,16,306,ghost,"pressure, frisk","mega-punch, fire-punch, ice-punch, thunder-punch, bind","hp=40, attack=70, defense=130, special-attack=60, special-defense=130, speed=25"
357,tropius,161,20,1000,"grass, flying","chlorophyll, solar-power, harvest","razor-wind, swords-dance, cut, gust, whirlwind","hp=99, attack=68, defense=83, special-attack=72, special-defense=87, speed=51"
358,chimecho,159,6,10,psychic,levitate,"bind, tackle, wrap, take-down, double-edge","hp=75, attack=50, defense=80, special-attack=95, special-defense=90, speed=65"
359,absol,163,12,470,dark,"pressure, super-luck, justified","scratch, razor-wind, swords-dance, cut, headbutt","hp=65, attack=130, defense=60, special-attack=75, special-defense=60, speed=75"
360,wynaut,52,6,140,psychic,"shadow-tag, telepathy","counter, amnesia, splash, destiny-bond, charm","hp=95, attack=23, defense=48, special-attack=23, special-defense=48, speed=23"
361,snorunt,60,7,168,ice,"inner-focus, ice-body, moody","headbutt, body-slam, take-down, double-edge, leer","hp=50, attack=50, defense=50, special-attack=50, special-defense=50, speed=50"
362,glalie,168,15,2565,ice,"inner-focus, ice-body, moody","headbutt, body-slam, take-down, double-edge, leer","hp=80, attack=80, defense=80, special-attack=80, special-defense=80, speed=80"
363,spheal,58,8,395,"ice, water","thick-fat, ice-body, oblivious","headbutt, body-slam, double-edge, growl, water-gun","hp=70, attack=40, defense=50, special-attack=55, special-defense=50, speed=25"
364,sealeo,144,11,876,"ice, water","thick-fat, ice-body, oblivious","headbutt, body-slam, double-edge, growl, roar","hp=90, attack=60, defense=70, special-attack=75, special-defense=70, speed=45"
365,walrein,239,14,1506,"ice, water","thick-fat, ice-body, oblivious","swords-dance, headbutt, body-slam, double-edge, growl","hp=110, attack=80, defense=90, special-attack=95, special-defense=90, speed=65"
366,clamperl,69,4,525,water,"shell-armor, rattled","body-slam, double-edge, supersonic, water-gun, surf","hp=35, attack=64, defense=85, special-attack=74, special-defense=55, speed=32"
367,huntail,170,17,270,water,"swift-swim, water-veil","bind, body-slam, double-edge, bite, water-gun","hp=55, attack=104, defense=105, special-attack=94, special-defense=75, speed=52"
368,gorebyss,170,18,226,water,"swift-swim, hydration","bind, body-slam, double-edge, water-gun, hydro-pump","hp=55, attack=84, defense=105, special-attack=114, special-defense=75, speed=52"
369,relicanth,170,10,234,"water, rock","swift-swim, rock-head, sturdy","headbutt, tackle, body-slam, take-down, double-edge","hp=100, attack=90, defense=130, special-attack=45, special-defense=65, speed=55"
370,luvdisc,116,6,87,water,"swift-swim, hydration","tackle, take-down, double-edge, supersonic, water-gun","hp=43, attack=30, defense=55, special-attack=40, special-defense=65, speed=97"
371,bagon,60,6,421,dragon,"rock-head, sheer-force","cut, headbutt, body-slam, take-down, thrash","hp=45, attack=75, defense=60, special-attack=40, special-defense=30, speed=50"
372,shelgon,147,11,1105,dragon,"rock-head, overcoat","cut, headbutt, body-slam, take-down, double-edge","hp=65, attack=95, defense=100, special-attack=60, special-defense=50, speed=50"
373,salamence,270,15,1026,"dragon, flying","intimidate, moxie","cut, fly, headbutt, body-slam, take-down","hp=95, attack=135, defense=80, special-attack=110, special-defense=80, speed=100"
374,beldum,60,6,952,"steel, psychic","clear-body, light-metal","headbutt, tackle, take-down, iron-defense, zen-headbutt","hp=40, attack=55, defense=80, special-attack=35, special-defense=60, speed=30"
375,metang,147,12,2025,"steel, psychic","clear-body, light-metal","ice-punch, thunder-punch, cut, headbutt, tackle","hp=60, attack=75, defense=100, special-attack=55, special-defense=80, speed=50"
376,metagross,270,16,5500,"steel, psychic","clear-body, light-metal","ice-punch, thunder-punch, cut, headbutt, tackle","hp=80, attack=135, defense=130, special-attack=95, special-defense=90, speed=70"
377,regirock,261,17,2300,rock,"clear-body, sturdy","mega-punch, fire-punch, ice-punch, thunder-punch, stomp","hp=80, attack=100, defense=200, special-attack=50, special-defense=100, speed=50"
378,regice,261,18,1750,ice,"clear-body, ice-body","mega-punch, ice-punch, thunder-punch, stomp, mega-kick","hp=80, attack=50, defense=100, special-attack=100, special-defense=200, speed=50"
379,registeel,261,19,2050,steel,"clear-body, light-metal","mega-punch, ice-punch, thunder-punch, stomp, mega-kick","hp=80, attack=75, defense=150, special-attack=75, special-defense=150, speed=50"
380,latias,270,14,400,"dragon, psychic",levitate,"cut, fly, body-slam, take-down, double-edge","hp=80, attack=80, defense=90, special-attack=110, special-defense=130, speed=110"
381,latios,270,20,600,"dragon, psychic",levitate,"cut, fly, body-slam, take-down, double-edge","hp=80, attack=90, defense=80, special-attack=130, special-defense=110, speed=110"
382,kyogre,302,45,3520,water,drizzle,"headbutt, body-slam, take-down, double-edge, roar","hp=100, attack=100, defense=90, special-attack=150, special-defense=140, speed=90"
383,groudon,302,35,9500,ground,drought,"mega-punch, fire-punch, thunder-punch, swords-dance, cut","hp=100, attack=150, defense=140, special-attack=100, special-defense=90, speed=90"
384,rayquaza,306,70,2065,"dragon, flying",air-lock,"swords-dance, fly, bind, headbutt, body-slam","hp=105, attack=150, defense=90, special-attack=150, special-defense=90, speed=95"
385,jirachi,270,3,11,"steel, psychic",serene-grace,"mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick","hp=100, attack=100, defense=100, special-attack=100, special-defense=100, speed=100"
386,deoxys-normal,270,17,608,psychic,pressure,"fire-punch, ice-punch, thunder-punch, cut, bind","hp=50, attack=150, defense=50, special-attack=150, special-defense=50, speed=150"
387,turtwig,64,4,102,grass,"overgrow, shell-armor","swords-dance, cut, headbutt, tackle, body-slam","hp=55, attack=68, defense=64, special-attack=45, special-defense=55, speed=31"
388,grotle,142,11,970,grass,"overgrow, shell-armor","swords-dance, cut, headbutt, tackle, body-slam","hp=75, attack=89, defense=85, special-attack=55, special-defense=65, speed=36"
389,torterra,236,22,3100,"grass, ground","overgrow, shell-armor","swords-dance, cut, headbutt, tackle, body-slam","hp=95, attack=109, defense=105, special-attack=75, special-defense=85, speed=56"
390,chimchar,62,5,62,fire,"blaze, iron-fist","fire-punch, thunder-punch, scratch, swords-dance, cut","hp=44, attack=58, defense=44, special-attack=58, special-defense=44, speed=61"
391,monferno,142,9,220,"fire, fighting","blaze, iron-fist","fire-punch, thunder-punch, scratch, swords-dance, cut","hp=64, attack=78, defense=52, special-attack=78, special-defense=52, speed=81"
392,infernape,240,12,550,"fire, fighting","blaze, iron-fist","fire-punch, thunder-punch, scratch, swords-dance, cut","hp=76, attack=104, defense=71, special-attack=104, special-defense=71, speed=108"
393,piplup,63,4,52,water,"torrent, competitive","pound, cut, headbutt, fury-attack, tackle","hp=53, attack=51, defense=53, special-attack=61, special-defense=56, speed=40"
394,prinplup,142,8,230,water,"torrent, competitive","pound, cut, headbutt, fury-attack, tackle","hp=64, attack=66, defense=68, special-attack=81, special-defense=76, speed=50"
395,empoleon,239,17,845,"water, steel","torrent, competitive","pound, swords-dance, cut, headbutt, fury-attack","hp=84, attack=86, defense=88, special-attack=111, special-defense=101, speed=60"
396,starly,49,3,20,"normal, flying","keen-eye, reckless","gust, wing-attack, whirlwind, fly, sand-attack","hp=40, attack=55, defense=30, special-attack=30, special-defense=30, speed=60"
397,staravia,119,6,155,"normal, flying","intimidate, reckless","gust, wing-attack, whirlwind, fly, tackle","hp=55, attack=75, defense=50, special-attack=40, special-defense=40, speed=80"
398,staraptor,218,12,249,"normal, flying","intimidate, reckless","gust, wing-attack, whirlwind, fly, tackle","hp=85, attack=120, defense=70, special-attack=50, special-defense=60, speed=100"
399,bidoof,50,5,200,normal,"simple, unaware, moody","swords-dance, cut, headbutt, tackle, take-down","hp=59, attack=45, defense=40, special-attack=35, special-defense=40, speed=31"
400,bibarel,144,10,315,"normal, water","simple, unaware, moody","swords-dance, cut, headbutt, tackle, take-down","hp=79, attack=85, defense=60, special-attack=55, special-defense=60, speed=71"
401,kricketot,39,3,22,bug,"shed-skin, run-away","pound, tackle, growl, absorb, string-shot","hp=37, attack=25, defense=41, special-attack=25, special-defense=41, speed=25"
402,kricketune,134,10,255,bug,"swarm, technician","pound, swords-dance, cut, tackle, take-down","hp=77, attack=85, defense=51, special-attack=55, special-defense=51, speed=65"
403,shinx,53,5,95,electric,"rivalry, intimidate, guts","double-kick, headbutt, tackle, take-down, double-edge","hp=45, attack=65, defense=34, special-attack=40, special-defense=34, speed=45"
404,luxio,127,9,305,electric,"rivalry, intimidate, guts","headbutt, tackle, take-down, double-edge, leer","hp=60, attack=85, defense=49, special-attack=60, special-defense=49, speed=60"
405,luxray,235,14,420,electric,"rivalry, intimidate, guts","headbutt, tackle, body-slam, take-down, double-edge","hp=80, attack=120, defense=79, special-attack=95, special-defense=79, speed=70"
406,budew,56,2,12,"grass, poison","natural-cure, poison-point, leaf-guard","swords-dance, cut, poison-sting, pin-missile, absorb","hp=40, attack=30, defense=35, special-attack=50, special-defense=70, speed=55"
407,roserade,232,9,145,"grass, poison","natural-cure, poison-point, technician","swords-dance, cut, body-slam, poison-sting, pin-missile","hp=60, attack=70, defense=65, special-attack=125, special-defense=105, speed=90"
408,cranidos,70,9,315,rock,"mold-breaker, sheer-force","fire-punch, thunder-punch, swords-dance, whirlwind, slam","hp=67, attack=125, defense=40, special-attack=30, special-defense=30, speed=58"
409,rampardos,173,16,1025,rock,"mold-breaker, sheer-force","fire-punch, thunder-punch, swords-dance, cut, whirlwind","hp=97, attack=165, defense=60, special-attack=65, special-defense=50, speed=58"
410,shieldon,70,5,570,"rock, steel","sturdy, soundproof","headbutt, tackle, body-slam, take-down, double-edge","hp=30, attack=42, defense=118, special-attack=42, special-defense=88, speed=30"
411,bastiodon,173,13,1495,"rock, steel","sturdy, soundproof","headbutt, tackle, body-slam, take-down, double-edge","hp=60, attack=52, defense=168, special-attack=47, special-defense=138, speed=30"
412,burmy-plant,45,2,34,bug,"shed-skin, overcoat","tackle, string-shot, snore, protect, hidden-power","hp=40, attack=29, defense=45, special-attack=29, special-defense=45, speed=36"
413,wormadam-plant,148,5,65,"bug, grass","anticipation, overcoat","gust, tackle, psybeam, hyper-beam, growth","hp=60, attack=59, defense=85, special-attack=79, special-defense=105, speed=36"
414,mothim-plant,148,9,233,"bug, flying","swarm, tinted-lens","gust, tackle, psybeam, hyper-beam, solar-beam","hp=70, attack=94, defense=50, special-attack=94, special-defense=50, speed=66"
415,combee,49,3,55,"bug, flying","honey-gather, hustle","gust, string-shot, swift, snore, mud-slap","hp=30, attack=30, defense=42, special-attack=30, special-defense=42, speed=70"
416,vespiquen,166,12,385,"bug, flying","pressure, unnerve","cut, gust, take-down, poison-sting, pin-missile","hp=70, attack=80, defense=102, special-attack=80, special-defense=102, speed=40"
417,pachirisu,142,4,39,electric,"run-away, pickup, volt-absorb","thunder-punch, cut, headbutt, take-down, tail-whip","hp=60, attack=45, defense=70, special-attack=45, special-defense=90, speed=95"
418,buizel,66,7,295,water,"swift-swim, water-veil","double-slap, ice-punch, razor-wind, headbutt, tackle","hp=55, attack=65, defense=35, special-attack=60, special-defense=30, speed=85"
419,floatzel,173,11,335,water,"swift-swim, water-veil","ice-punch, razor-wind, headbutt, tackle, body-slam","hp=85, attack=105, defense=55, special-attack=85, special-defense=50, speed=115"
420,cherubi,55,4,33,grass,chlorophyll,"swords-dance, tackle, take-down, double-edge, absorb","hp=45, attack=35, defense=45, special-attack=62, special-defense=53, speed=35"
421,cherrim-overcast,158,5,93,grass,flower-gift,"swords-dance, tackle, take-down, double-edge, hyper-beam","hp=70, attack=60, defense=70, special-attack=87, special-defense=78, speed=85"
422,shellos-west,65,3,63,water,"sticky-hold, storm-drain, sand-force","headbutt, tackle, body-slam, take-down, mist","hp=76, attack=48, defense=48, special-attack=57, special-defense=62, speed=34"
423,gastrodon-west,166,9,299,"water, ground","sticky-hold, storm-drain, sand-force","headbutt, tackle, body-slam, take-down, water-gun","hp=111, attack=83, defense=68, special-attack=92, special-defense=82, speed=39"
424,ambipom,169,12,203,normal,"technician, pickup, skill-link","fire-punch, ice-punch, thunder-punch, scratch, cut","hp=75, attack=100, defense=66, special-attack=60, special-defense=66, speed=115"
425,drifloon,70,4,12,"ghost, flying","aftermath, unburden, flare-boost","cut, gust, fly, bind, body-slam","hp=90, attack=50, defense=34, special-attack=60, special-defense=44, speed=70"
426,drifblim,174,12,150,"ghost, flying","aftermath, unburden, flare-boost","cut, gust, fly, bind, body-slam","hp=150, attack=80, defense=44, special-attack=90, special-defense=54, speed=80"
427,buneary,70,4,55,normal,"run-away, klutz, limber","pound, mega-punch, fire-punch, ice-punch, thunder-punch","hp=55, attack=66, defense=44, special-attack=44, special-defense=56, speed=85"
428,lopunny,168,12,333,normal,"cute-charm, klutz, limber","pound, mega-punch, fire-punch, ice-punch, thunder-punch","hp=65, attack=76, defense=84, special-attack=54, special-defense=96, speed=105"
429,mismagius,173,9,44,ghost,levitate,"headbutt, growl, psybeam, hyper-beam, thunderbolt","hp=60, attack=60, defense=60, special-attack=105, special-defense=105, speed=105"
430,honchkrow,177,9,273,"dark, flying","insomnia, super-luck, moxie","gust, wing-attack, fly, take-down, double-edge","hp=100, attack=125, defense=52, special-attack=105, special-defense=52, speed=71"
431,glameow,62,5,39,normal,"limber, own-tempo, keen-eye","scratch, cut, sand-attack, headbutt, tackle","hp=49, attack=55, defense=42, special-attack=42, special-defense=37, speed=85"
432,purugly,158,10,438,normal,"thick-fat, own-tempo, defiant","scratch, cut, headbutt, tackle, body-slam","hp=71, attack=82, defense=64, special-attack=64, special-defense=59, speed=112"
